Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1000),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Custom],SKU [Custom],Packaging [Custom],Unit Price (@ Batch Size: 1000) [Custom],Line Total [Custom],Batch Total [Custom],In Stock [Custom],MOQ [Custom],URL [Custom],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
6,CC0603KRX7R9BB104,Yageo,CC0603KRX7R9BB104,https://octopart.com/cc0603krx7r9bb104-yageo-42244635,"C3, C6, C8, C9, C10, C12",,100nF,6000,311-1344-2-ND,CC0603KRX7R9BB104,,Tape & Reel,,,0.0044291786,0.00575218,,4064000,39775,,4000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=004a615&sid=459&ppid=42244635&vpid=115141231&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0890135&sid=2401&ppid=42244635&vpid=115540542&ct=offers,,SOS electronic,"K0603 0,1UF X7R 50V 10% REEL",,0.0017550221903285194,0.010530133141971116,10.530133141971117,115000,4000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=002b81c&sid=26036&ppid=42244635&vpid=225578708&ct=offers,
3,CC0603KRX7R8BB105,Yageo,CC0603KRX7R8BB105,https://octopart.com/cc0603krx7r8bb105-yageo-24490981,"C1, C2, C4",,1uF,3000,311-1802-1-ND,CC0603KRX7R8BB105,76T5629,Cut Tape,,Tape & Reel,0.013147840000000001,0.0123261,,83636,19816,0,1,,4000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04aefbe&sid=459&ppid=24490981&vpid=193846493&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00a6098&sid=2401&ppid=24490981&vpid=182745269&ct=offers,https://octopart.com/click/track?c=1&country=ES&ak=68b25f31&sig=062e7f5&sid=2402&ppid=24490981&vpid=96901024&ct=offers,Arrow,CC0603KRX7R8BB105**MULT1,Cut Tape,0.010353924,0.031061772,31.061772000000005,3000,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00ea084&sid=1106&ppid=24490981&vpid=276213779&ct=offers,
2,CC0603KRX7R9BB223,Yageo,CC0603KRX7R9BB223,https://octopart.com/cc0603krx7r9bb223-yageo-41224721,"C7, C11",,22pF,2000,311-1370-1-ND,CC0603KRX7R9BB223,,Cut Tape,,,0.0101567064,0.00986088,,56263,16151,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a2fcb5&sid=459&ppid=41224721&vpid=115681372&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a5185f&sid=2401&ppid=41224721&vpid=115001579&ct=offers,,TME,CC0603KRX7R9223,,0.0016434800000000001,0.0032869600000000002,3.28696,111700,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0202471&sid=1532&ppid=41224721&vpid=116524512&ct=offers,
1,CRCW0603100KFKEA,Vishay,CRCW0603100KFKEA,https://octopart.com/crcw0603100kfkea-vishay-39670900,R5,,100K,1000,541-100KHCT-ND,CRCW0603100KFKEA,,Cut Tape,,,0.0045524396,0.01479132,,645059,535385,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0582d65&sid=459&ppid=39670900&vpid=114978159&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0965d62&sid=2401&ppid=39670900&vpid=114828650&ct=offers,,Arrow,CRCW0603100KFKEA**MULT1,Cut Tape,0.001479132,0.001479132,1.479132,3124,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e70c4c&sid=1106&ppid=39670900&vpid=116767138&ct=offers,
1,CRCW060310K0FKEA,Vishay,CRCW060310K0FKEA,https://octopart.com/crcw060310k0fkea-vishay-55388213,R32,,10K,1000,541-10.0KHCT-ND,CRCW060310K0FKEA,,Cut Tape,,,0.0045524396,0.01479132,,5208626,1173527,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07523d2&sid=459&ppid=55388213&vpid=114978174&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=041d63d&sid=2401&ppid=55388213&vpid=187883099&ct=offers,,Arrow,CRCW060310K0FKEA**MULT1,Cut Tape,0.001479132,0.001479132,1.479132,2679,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ec83bd&sid=1106&ppid=55388213&vpid=188038031&ct=offers,
1,CC0603MRX5R5BB106,Yageo,CC0603MRX5R5BB106,https://octopart.com/cc0603mrx5r5bb106-yageo-42335507,C5,,10uF,1000,311-1448-1-ND,CC0603MRX5R5BB106,59M4957,Cut Tape,,Cut Tape,0.0346116888,0.03451308,0.020543500000000003,262529,18089,0,1,,10,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ad1432&sid=459&ppid=42335507&vpid=115225650&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0eb5baf&sid=2401&ppid=42335507&vpid=115233262&ct=offers,https://octopart.com/click/track?c=1&country=ES&ak=68b25f31&sig=0365cff&sid=2402&ppid=42335507&vpid=20053037&ct=offers,Chip One Stop Japan,C1S900100757762,Cut Tape,0.010541528338872194,0.010541528338872194,10.541528338872194,1350,50,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00ee3b0&sid=13512&ppid=42335507&vpid=281158792&ct=offers,
1,CRCW06031K00FKEA,Vishay,CRCW06031K00FKEA,https://octopart.com/crcw06031k00fkea-vishay-55433929,R10,,1K,1000,541-1.00KHCT-ND,CRCW06031K00FKEA,,Cut Tape,,,0.0045524396,0.01479132,,1116949,610945,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00c12fe&sid=459&ppid=55433929&vpid=114978281&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0af9c94&sid=2401&ppid=55433929&vpid=187883128&ct=offers,,Arrow,CRCW06031K00FKEA**MULT1,Cut Tape,0.001479132,0.001479132,1.479132,20369,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=06de1ae&sid=1106&ppid=55433929&vpid=188615715&ct=offers,
3,CRCW06034K70FKEA,Vishay,CRCW06034K70FKEA,https://octopart.com/crcw06034k70fkea-vishay-39455708,"R4, R6, R24",,4K7,3000,541-4.70KHCT-ND,CRCW06034K70FKEA,,Cut Tape,,,0.0045524396,0.01479132,,359295,414514,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ca88c9&sid=459&ppid=39455708&vpid=114978646&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=066dcaa&sid=2401&ppid=39455708&vpid=114828860&ct=offers,,Chip One Stop Global,C1S803603318716,,0.0036568198306570444,0.010970459491971132,10.970459491971134,16234,200,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0bd375a&sid=27109&ppid=39455708&vpid=268151610&ct=offers,
1,LQH32CN100K33L,Murata,LQH32CN100K33L,https://octopart.com/lqh32cn100k33l-murata-5372096,L1,,10uH,1000,490-6614-1-ND,LQH32CN100K33L,38K3981,Cut Tape,,Cut Tape,0.1220941292,0.09532184,0.1479132,24037,11386,1882,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07b4aa6&sid=459&ppid=5372096&vpid=64141608&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0136dd1&sid=2401&ppid=5372096&vpid=38925374&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e70dc3&sid=2402&ppid=5372096&vpid=6625888&ct=offers,Component Sense,LQH32CN100K33L,,0.041087000000000005,0.041087000000000005,41.087,2601,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=09dd2ea&sid=13184&ppid=5372096&vpid=45030911&ct=offers,
